Algorithm,MNIST,USPS,Caltech-256,Iris,Breast-Cancer
PIC,0.10579821586266135,0.02441652390056994,0.1287652452548971,0.5541608580282851,0.4007419334158651
k-med,0.10132962429959923,0.08680642393562078,0.13924637967912173,0.5528190123564095,0.6921130838412453
A-link,0.10341974329557804,0.09504263649417304,0.1738431506083358,0.5541608580282851,0.6909351427174759
S-link,-0.009855076000491092,0.0471560638488706,0.03493360994591047,0.5121107753649307,0.7989868807602943
C-link,0.09326793554083496,0.04037895117792789,0.10142523968216445,0.5135953221192214,0.6909351427174759
AP,0.05987538208816042,0.07785170010338693,0.06308115497510765,0.3474081937055608,0.3909268311990147
NCuts,0.08403320979641676,0.08567138349649295,0.1486052868504248,0.5518177421032635,0.40826513050549584
NJW,0.11135481923771402,0.11594093713708115,0.11426780921784072,,0.24723889522009704
CT,0.008758651265410786,-0.21173957898018003,-0.15879539406679807,-0.05243766759551109,0.40467493474608396
Zell,0.10889046229061956,0.11355412039763066,0.05722764349870218,0.5506723437480265,0.40467493474608396
C-kernel,0.07836509865157562,0.07998578777239224,0.1215971556432836,0.5498596823419791,0.3041560323484121
D-kernel,0.10680212171923768,0.14700563311525774,0.11241972873028493,0.5527854579449814,0.40814115426499603
